"Replicate.Name","Area.Value","Mz.Value","RT.Value","SN.Value","Alignment.ID","Average.Rt.min.","Metabolite.name","Adduct.type","MS.MS.assigned","Reference.RT","Reference.m.z","Comment","RT.similarity","S.N.average","Spectrum.reference.file.name"
"190912_Blk_HBlk1_B.0.2",691293,185.154,3.903,23.04196,"782","3.772","FA 11:0","[M-H]-","FALSE","3.9","185.15421","ok","100","15.68","190912_Std_FA-StdsInSolvent_2"
"190912_Blk_HBlk1_B.0.2",5412962,199.17,4.698,334.1717,"1064","4.698","FA 12:0","[M-H]-","FALSE","4.7","199.1698","G;","100","265.99","190912_Smp_HS2C1D5_0-3"
"190912_Blk_HBlk1_B.0.2",659505,213.186,5.488,28.85977,"1406","5.363","FA 13:0","[M-H]-","FALSE","5.3","213.18546","ok","100","32.25","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",419734,225.186,5.2,17.64692,"1755","5.154","FA 14:1","[M-H]-","FALSE","5.2","225.18546","G;","99.9","126.89","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",32372322,227.201,6.254,3016.775,"1803","6.249","FA 14:0","[M-H]-","FALSE","6.3","227.20111","G;","100","2677.18","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",335227,239.202,5.951,25.08409,"2064","5.954","FA 15:1","[M-H]-","FALSE","6","239.20111","G;","100","143.72","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",4025678,241.217,7.038,237.5011,"2141","6.987","FA 15:0","[M-H]-","FALSE","6.9","241.21675","G","99.8","371.16","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",4332134,247.171,4.083,81.72515,"2306","4.087","FA 16:4","[M-H]-","FALSE","4.1","247.1698","Better now","100","319.27","190912_Smp_HS8C3D5_0-3"
"190912_Blk_HBlk1_B.0.2",405436,249.186,5.237,3.604697,"2346","4.729","FA 16:3","[M-H]-","FALSE","4.7","249.18546","G; think good but there is low intensity so looks poor?","99.9","74.14","190912_Smp_HS8C3D75_0-3"
"190912_Blk_HBlk1_B.0.2",158149,251.202,5.596,11.57702,"2378","5.591","FA 16:2","[M-H]-","FALSE","5.6","251.20111","G;","100","381.39","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",3696668,253.217,6.68,380.375,"2417","6.55","FA 16:1_Std","[M-H]-","FALSE","6.6","253.21675","G;","100","3923.57","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",159788736,255.233,7.931,3234.667,"2465","7.926","FA 16:0_Std","[M-H]-","FALSE","7.9","255.23241","G;","100","1675.04","190912_Smp_HU12_A_0-3"
"190912_Blk_HBlk1_B.0.2",779671,267.233,7.509,48.22045,"2737","7.53","FA 17:1","[M-H]-","FALSE","7.4","267.23239","ok","100","282.91","190912_Smp_HU12_C_0-3"
"190912_Blk_HBlk1_B.0.2",7749236,269.249,8.941,303.7711,"2793","8.9","FA 17:0","[M-H]-","FALSE","8.9","269.24805","G;","99.9","273.86","190912_Smp_HU12_C_0-3"
